311,NYPD,Zip_311,Zip_NYPD,startTime,endTime,Relationship
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,10035,10451,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,11233,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,11212,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,11211,1262322000,1451451600,2
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,10035,11206,1262322000,1451538000,2
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,10035,11233,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,11206,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,10452,1262322000,1451538000,2
Noise - Residential,HARRASSMENT 2,10035,10301,1262322000,1451538000,1
Noise - Residential,DANGEROUS DRUGS,10035,10455,1262322000,1451451600,1
Noise - Residential,DANGEROUS DRUGS,10035,10456,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,10451,1262322000,1451451600,1
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,10035,11216,1262322000,1451192400,2
Noise - Residential,DANGEROUS DRUGS,10035,10452,1262322000,1451451600,1
Noise - Residential,PETIT LARCENY,10035,10002,1262322000,1451451600,2
Noise - Residential,DANGEROUS DRUGS,10035,10457,1262322000,1451538000,3
Noise - Residential,HARRASSMENT 2,10035,10457,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,11368,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,11517,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10035,11230,1262322000,1451538000,1
HEATING,GRAND LARCENY,10002,10003,1262322000,1271390400,1
HEATING,PETIT LARCENY,10002,10012,1262322000,1271390400,3
HEATING,HARRASSMENT 2,10002,11213,1262322000,1271390400,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,10457,1262322000,1271390400,1
HEATING,HARRASSMENT 2,10002,10452,1262322000,1271390400,2
HEATING,PETIT LARCENY,10002,10003,1262322000,1271390400,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,10456,1262322000,1271390400,2
HEATING,DANGEROUS DRUGS,10002,11207,1262322000,1271390400,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,11207,1262322000,1271390400,1
HEATING,HARRASSMENT 2,10002,11221,1262322000,1271390400,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,10455,1262322000,1271390400,2
HEATING,DANGEROUS DRUGS,10002,10451,1262322000,1271390400,1
HEATING,PETIT LARCENY,10002,10455,1262322000,1271390400,2
HEATING,GRAND LARCENY,10002,10003,1390453200,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,10451,1390453200,1394424000,1
HEATING,PETIT LARCENY,10002,11211,1390453200,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,11233,1390453200,1394424000,2
HEATING,PETIT LARCENY,10002,10452,1390453200,1394424000,2
HEATING,HARRASSMENT 2,10002,10029,1390453200,1394424000,1
HEATING,PETIT LARCENY,10002,10035,1390453200,1394424000,2
HEATING,DANGEROUS DRUGS,10002,11207,1390453200,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,10459,1390453200,1394424000,1
HEATING,PETIT LARCENY,10002,10451,1390453200,1394424000,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,11207,1390453200,1394424000,2
HEATING,HARRASSMENT 2,10002,11212,1390453200,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,11216,1390453200,1394424000,3
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,11225,1390453200,1394424000,3
HEATING,HARRASSMENT 2,10002,10459,1390453200,1394424000,2
HEATING,PETIT LARCENY,10002,10467,1390453200,1394424000,2
HEATING,PETIT LARCENY,10002,11234,1390453200,1394424000,1
HEATING,HARRASSMENT 2,10002,10453,1390453200,1394424000,2
HEATING,PETIT LARCENY,10002,11385,1390453200,1394424000,2
HEATING,PETIT LARCENY,10002,11238,1390453200,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10002,10029,1390453200,1394424000,1
HEATING,PETIT LARCENY,10002,11217,1390453200,1394424000,1
HEATING,HARRASSMENT 2,10014,11236,1262322000,1267678800,2
HEATING,GRAND LARCENY,10014,10012,1262322000,1267678800,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10014,11233,1262322000,1267678800,2
HEATING,HARRASSMENT 2,10014,11233,1262322000,1267678800,1
HEATING,HARRASSMENT 2,10014,10452,1262322000,1267678800,1
HEATING,HARRASSMENT 2,10014,10455,1262322000,1267678800,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10014,10459,1262322000,1267678800,2
HEATING,PETIT LARCENY,10014,10451,1262322000,1267678800,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10014,11216,1262322000,1267678800,1
HEATING,HARRASSMENT 2,10014,11385,1262322000,1267678800,2
HEATING,HARRASSMENT 2,10014,11221,1262322000,1267678800,1
HEATING,PETIT LARCENY,10014,10002,1262322000,1267678800,2
HEATING,HARRASSMENT 2,10014,10459,1262322000,1267678800,2
HEATING,HARRASSMENT 2,10014,11207,1262322000,1267678800,2
HEATING,PETIT LARCENY,10014,10463,1262322000,1267678800,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10014,11212,1262322000,1267678800,1
HEATING,PETIT LARCENY,10014,11238,1262322000,1267678800,1
Homeless Person Assistance,PETIT LARCENY,10001,10027,1442980800,1451538000,3
Homeless Person Assistance,CRIMINAL MISCHIEF & RELATED OF,10001,11207,1442980800,1451538000,2
Homeless Person Assistance,ASSAULT 3 & RELATED OFFENSES,10001,10457,1442980800,1451538000,1
Homeless Person Assistance,HARRASSMENT 2,10001,10452,1442980800,1451538000,2
Homeless Person Assistance,HARRASSMENT 2,10001,11212,1442980800,1451538000,1
Homeless Person Assistance,ASSAULT 3 & RELATED OFFENSES,10001,11216,1442980800,1451192400,2
Homeless Person Assistance,HARRASSMENT 2,10001,10459,1442980800,1451538000,1
Homeless Person Assistance,PETIT LARCENY,10001,10457,1442980800,1451365200,1
Homeless Person Assistance,CRIMINAL MISCHIEF & RELATED OF,10001,10467,1442980800,1451538000,2
Homeless Person Assistance,DANGEROUS DRUGS,10001,10451,1442980800,1451451600,2
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,11235,10458,1262408400,1451538000,3
Noise - Residential,PETIT LARCENY,11235,11233,1262408400,1451538000,1
Noise - Residential,HARRASSMENT 2,11235,11236,1262408400,1451538000,1
Noise - Residential,PETIT LARCENY,11235,11212,1262408400,1451538000,1
Noise - Residential,PETIT LARCENY,11235,11211,1262408400,1451451600,1
Noise - Residential,PETIT LARCENY,11235,11225,1262408400,1451538000,1
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,11235,11206,1262408400,1451538000,2
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,11235,11233,1262408400,1451538000,1
Noise - Residential,HARRASSMENT 2,11235,10467,1262408400,1451538000,1
Noise - Residential,PETIT LARCENY,11235,10025,1262408400,1451451600,1
Noise - Residential,HARRASSMENT 2,11235,11233,1262408400,1451451600,2
Noise - Residential,PETIT LARCENY,11235,11216,1262408400,1451365200,1
Noise - Residential,HARRASSMENT 2,11235,10029,1262408400,1451538000,1
Noise - Residential,PETIT LARCENY,11235,10035,1262408400,1451451600,1
Noise - Residential,PETIT LARCENY,11235,11207,1262408400,1451451600,2
Noise - Residential,DANGEROUS DRUGS,11235,10456,1262408400,1451538000,2
Noise - Residential,PETIT LARCENY,11235,10451,1262408400,1451451600,1
Noise - Residential,DANGEROUS DRUGS,11235,10452,1262408400,1451451600,1
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,11235,11225,1262408400,1451538000,1
Noise - Residential,DANGEROUS DRUGS,11235,10457,1262408400,1451538000,1
Noise - Residential,PETIT LARCENY,11235,11385,1262408400,1451538000,1
Noise - Residential,DANGEROUS DRUGS,11235,10451,1262408400,1451451600,1
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,11235,11221,1262408400,1451451600,2
Blocked Driveway,PETIT LARCENY,11207,10012,1262322000,1451538000,2
Blocked Driveway,HARRASSMENT 2,11207,11213,1262322000,1451538000,2
Blocked Driveway,PETIT LARCENY,11207,10025,1262322000,1451451600,1
Blocked Driveway,DANGEROUS DRUGS,11207,10456,1262322000,1451538000,1
Blocked Driveway,PETIT LARCENY,11207,10459,1262322000,1451538000,2
Blocked Driveway,ASSAULT 3 & RELATED OFFENSES,11207,11216,1262322000,1451192400,2
Blocked Driveway,DANGEROUS DRUGS,11207,10452,1262322000,1451451600,1
Blocked Driveway,HARRASSMENT 2,11207,10459,1262322000,1451538000,1
Blocked Driveway,PETIT LARCENY,11207,10467,1262322000,1451278800,2
Blocked Driveway,DANGEROUS DRUGS,11207,10457,1262322000,1451538000,2
Blocked Driveway,PETIT LARCENY,11207,10011,1262322000,1451538000,1
Blocked Driveway,PETIT LARCENY,11207,11368,1262322000,1451538000,2
Blocked Driveway,ASSAULT 3 & RELATED OFFENSES,11207,11221,1262322000,1451451600,2
HEATING,GRAND LARCENY,10031,10003,1262322000,1394424000,1
HEATING,PETIT LARCENY,10031,10027,1262322000,1394424000,2
HEATING,PETIT LARCENY,10031,11373,1262322000,1394424000,1
HEATING,PETIT LARCENY,10031,11211,1262322000,1394424000,1
HEATING,PETIT LARCENY,10031,11225,1262322000,1394424000,3
HEATING,PETIT LARCENY,10031,10025,1262322000,1394424000,3
HEATING,PETIT LARCENY,10031,11216,1262322000,1394424000,2
HEATING,DANGEROUS DRUGS,10031,10455,1262322000,1394424000,2
HEATING,DANGEROUS DRUGS,10031,11207,1262322000,1394424000,2
HEATING,PETIT LARCENY,10031,10458,1262322000,1394424000,1
HEATING,HARRASSMENT 2,10031,11221,1262322000,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10031,11225,1262322000,1394424000,2
HEATING,PETIT LARCENY,10031,10011,1262322000,1394424000,1
HEATING,HARRASSMENT 2,10031,10453,1262322000,1394424000,2
HEATING,PETIT LARCENY,10031,11517,1262322000,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10031,11368,1262322000,1394424000,2
HEATING,CRIMINAL MISCHIEF & RELATED OF,10031,10467,1262322000,1394424000,1
HEATING,PETIT LARCENY,10031,11238,1262322000,1394424000,3
HEAT/HOT WATER,PETIT LARCENY,10040,10027,1394510400,1451538000,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10040,10467,1394510400,1451538000,1
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10040,10458,1394510400,1451538000,2
HEAT/HOT WATER,PETIT LARCENY,10040,11211,1394510400,1451451600,1
HEAT/HOT WATER,GRAND LARCENY,10040,10012,1394510400,1451538000,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10040,11233,1394510400,1451538000,3
HEAT/HOT WATER,PETIT LARCENY,10040,11206,1394510400,1451538000,1
HEAT/HOT WATER,VEHICLE AND TRAFFIC LAWS,10040,11434,1429761600,1451451600,2
HEAT/HOT WATER,PETIT LARCENY,10040,10035,1394510400,1451451600,1
HEAT/HOT WATER,PETIT LARCENY,10040,11207,1394510400,1451451600,1
HEAT/HOT WATER,DANGEROUS DRUGS,10040,11207,1394510400,1451538000,2
HEAT/HOT WATER,HARRASSMENT 2,10040,11385,1394510400,1451538000,2
HEAT/HOT WATER,HARRASSMENT 2,10040,11221,1394510400,1451538000,2
HEAT/HOT WATER,PETIT LARCENY,10040,10002,1394510400,1451451600,1
HEAT/HOT WATER,DANGEROUS DRUGS,10040,10457,1394510400,1451538000,1
HEAT/HOT WATER,HARRASSMENT 2,10040,10453,1394510400,1451365200,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10040,10455,1394510400,1451538000,1
HEAT/HOT WATER,HARRASSMENT 2,10040,11206,1394510400,1451538000,2
HEAT/HOT WATER,PETIT LARCENY,10040,11238,1394510400,1451538000,3
PAINT - PLASTER,PETIT LARCENY,11221,10027,1262494800,1393477200,2
PAINT - PLASTER,ASSAULT 3 & RELATED OFFENSES,11221,10458,1262494800,1393477200,2
PAINT - PLASTER,PETIT LARCENY,11221,10012,1262494800,1393477200,1
PAINT - PLASTER,PETIT LARCENY,11221,11225,1262494800,1393477200,1
PAINT - PLASTER,ASSAULT 3 & RELATED OFFENSES,11221,11206,1262494800,1393477200,1
PAINT - PLASTER,CRIMINAL MISCHIEF & RELATED OF,11221,11207,1262494800,1393477200,2
PAINT - PLASTER,HARRASSMENT 2,11221,11213,1262494800,1393477200,1
PAINT - PLASTER,PETIT LARCENY,11221,10025,1262494800,1393477200,1
PAINT - PLASTER,PETIT LARCENY,11221,10003,1262494800,1393477200,3
PAINT - PLASTER,HARRASSMENT 2,11221,10301,1262494800,1393477200,2
PAINT - PLASTER,DANGEROUS DRUGS,11221,10455,1262494800,1393477200,3
PAINT - PLASTER,DANGEROUS DRUGS,11221,11207,1262494800,1393477200,1
PAINT - PLASTER,DANGEROUS DRUGS,11221,10456,1262494800,1393477200,3
PAINT - PLASTER,PETIT LARCENY,11221,10451,1262494800,1393477200,2
PAINT - PLASTER,DANGEROUS DRUGS,11221,10452,1262494800,1393477200,3
PAINT - PLASTER,PETIT LARCENY,11221,10002,1262494800,1393477200,1
PAINT - PLASTER,HARRASSMENT 2,11221,10459,1262494800,1393477200,1
PAINT - PLASTER,DANGEROUS DRUGS,11221,10457,1262494800,1393477200,3
PAINT - PLASTER,PETIT LARCENY,11221,10120,1262494800,1393477200,3
PAINT - PLASTER,PETIT LARCENY,11221,11213,1262494800,1393477200,2
PAINT - PLASTER,PETIT LARCENY,11221,10028,1262494800,1393477200,1
PAINT - PLASTER,PETIT LARCENY,11221,10011,1262494800,1393477200,1
PAINT - PLASTER,CRIMINAL MISCHIEF & RELATED OF,11221,11212,1262494800,1393477200,2
PAINT - PLASTER,GRAND LARCENY,11221,10011,1262494800,1393477200,2
PAINT - PLASTER,PETIT LARCENY,11221,11238,1262494800,1393477200,2
PAINT - PLASTER,PETIT LARCENY,11221,11435,1262494800,1393477200,1
PAINT - PLASTER,HARRASSMENT 2,11221,11225,1262494800,1393477200,1
PAINT - PLASTER,PETIT LARCENY,11221,11217,1262494800,1393477200,1
PAINT - PLASTER,DANGEROUS DRUGS,11221,10451,1262494800,1393477200,1
Noise - Residential,GRAND LARCENY,11373,10012,1262322000,1451538000,2
Noise - Residential,HARRASSMENT 2,11373,11213,1262322000,1451538000,1
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,11373,10453,1262322000,1451365200,2
Noise - Residential,PETIT LARCENY,11373,10003,1262322000,1451538000,2
Noise - Residential,DANGEROUS DRUGS,11373,10456,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,11373,10458,1262322000,1451451600,2
Noise - Residential,DANGEROUS DRUGS,11373,10452,1262322000,1451451600,1
Noise - Residential,PETIT LARCENY,11373,10467,1262322000,1451278800,3
Noise - Residential,DANGEROUS DRUGS,11373,10457,1262322000,1451538000,1
Noise - Residential,HARRASSMENT 2,11373,11207,1262322000,1451451600,1
Noise - Residential,CRIMINAL MISCHIEF & RELATED OF,11373,11212,1262322000,1451451600,2
Noise - Residential,PETIT LARCENY,11373,11368,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,11373,11517,1262322000,1451538000,2
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,11373,11368,1262322000,1451538000,1
Noise - Residential,GRAND LARCENY,11373,10011,1262322000,1451451600,1
Noise - Residential,HARRASSMENT 2,11373,11225,1262322000,1451538000,2
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,11373,10029,1262322000,1451538000,3
Noise - Residential,PETIT LARCENY,11373,10462,1262322000,1451538000,1
HEATING,PETIT LARCENY,11218,11373,1393131600,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,11218,11233,1393131600,1394424000,3
HEATING,HARRASSMENT 2,11218,11233,1393131600,1394424000,2
HEATING,PETIT LARCENY,11218,10035,1393131600,1394424000,2
HEATING,PETIT LARCENY,11218,10451,1393131600,1394424000,2
HEATING,HARRASSMENT 2,11218,11385,1393131600,1394424000,1
HEATING,PETIT LARCENY,11218,10011,1393131600,1394424000,2
HEATING,PETIT LARCENY,11218,11517,1393131600,1394424000,1
HEATING,GRAND LARCENY,11218,10011,1393131600,1394424000,1
HEATING,DANGEROUS DRUGS,11218,10451,1393131600,1394424000,2
HEATING,PETIT LARCENY,11218,11233,1379304000,1393045200,1
HEATING,PETIT LARCENY,11218,11212,1379304000,1393045200,2
HEATING,ASSAULT 3 & RELATED OFFENSES,11218,10457,1379304000,1393045200,2
HEATING,DANGEROUS DRUGS,11218,10456,1379304000,1393045200,1
HEATING,HARRASSMENT 2,11218,11221,1379304000,1393045200,1
HEATING,DANGEROUS DRUGS,11218,10457,1379304000,1393045200,1
HEATING,PETIT LARCENY,11218,10457,1379304000,1393045200,2
HEATING,PETIT LARCENY,11218,11213,1379304000,1393045200,1
HEATING,ASSAULT 3 & RELATED OFFENSES,11218,11213,1379304000,1393045200,1
HEATING,GRAND LARCENY,11218,10011,1379304000,1393045200,1
HEATING,PETIT LARCENY,11218,11206,1286596800,1292302800,3
HEATING,HARRASSMENT 2,11218,11213,1286596800,1292302800,2
HEATING,ASSAULT 3 & RELATED OFFENSES,11218,10453,1286596800,1292302800,1
HEATING,DANGEROUS DRUGS,11218,10452,1286596800,1292302800,3
HEATING,HARRASSMENT 2,11218,10459,1286596800,1292302800,2
HEATING,PETIT LARCENY,11218,10120,1286596800,1292302800,1
HEATING,PETIT LARCENY,11218,11385,1286596800,1292302800,2
HEATING,PETIT LARCENY,11218,11435,1286596800,1292302800,2
HEATING,PETIT LARCENY,11218,10462,1286596800,1292302800,2
PLUMBING,PETIT LARCENY,11208,11233,1262408400,1451538000,1
PLUMBING,PETIT LARCENY,11208,11373,1262408400,1451538000,1
PLUMBING,PETIT LARCENY,11208,11212,1262408400,1451538000,2
PLUMBING,PETIT LARCENY,11208,11225,1262408400,1451538000,1
PLUMBING,ASSAULT 3 & RELATED OFFENSES,11208,11206,1262408400,1451538000,1
PLUMBING,HARRASSMENT 2,11208,10467,1262408400,1451538000,2
PLUMBING,PETIT LARCENY,11208,10025,1262408400,1451451600,2
PLUMBING,PETIT LARCENY,11208,11216,1262408400,1451365200,2
PLUMBING,ASSAULT 3 & RELATED OFFENSES,11208,10457,1262408400,1451538000,1
PLUMBING,PETIT LARCENY,11208,10003,1262408400,1451538000,1
PLUMBING,ASSAULT 3 & RELATED OFFENSES,11208,10456,1262408400,1451538000,2
PLUMBING,DANGEROUS DRUGS,11208,10455,1262408400,1451451600,3
PLUMBING,DANGEROUS DRUGS,11208,10456,1262408400,1451538000,3
PLUMBING,HARRASSMENT 2,11208,11212,1262408400,1451538000,2
PLUMBING,DANGEROUS DRUGS,11208,10452,1262408400,1451451600,1
PLUMBING,DANGEROUS DRUGS,11208,10457,1262408400,1451538000,3
PLUMBING,PETIT LARCENY,11208,10120,1262408400,1451538000,1
PLUMBING,PETIT LARCENY,11208,10011,1262408400,1451538000,1
PLUMBING,PETIT LARCENY,11208,11368,1262408400,1451538000,1
PLUMBING,GRAND LARCENY,11208,10011,1262408400,1451451600,1
PLUMBING,PETIT LARCENY,11208,11238,1262408400,1451538000,2
PLUMBING,PETIT LARCENY,11208,11217,1262408400,1451538000,1
PLUMBING,DANGEROUS DRUGS,11208,10451,1262408400,1451451600,3
PLUMBING,ASSAULT 3 & RELATED OFFENSES,11208,11221,1262408400,1451451600,1
HEATING,HARRASSMENT 2,10468,11236,1262322000,1394424000,2
HEATING,HARRASSMENT 2,10468,10467,1262322000,1394424000,2
HEATING,PETIT LARCENY,10468,10452,1262322000,1394424000,2
HEATING,PETIT LARCENY,10468,11216,1262322000,1394424000,2
HEATING,HARRASSMENT 2,10468,10452,1262322000,1394424000,1
HEATING,HARRASSMENT 2,10468,10301,1262322000,1394424000,1
HEATING,DANGEROUS DRUGS,10468,10455,1262322000,1394424000,2
HEATING,ASSAULT 3 & RELATED OFFENSES,10468,10459,1262322000,1394424000,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10468,10452,1262322000,1394424000,2
HEATING,HARRASSMENT 2,10468,11207,1262322000,1394424000,1
HEATING,ASSAULT 3 & RELATED OFFENSES,10468,10455,1262322000,1394424000,1
HEATING,HARRASSMENT 2,10468,11216,1262322000,1394424000,1
HEATING,PETIT LARCENY,10468,11517,1262322000,1394424000,2
HEATING,GRAND LARCENY,10468,10011,1262322000,1394424000,2
HEATING,CRIMINAL MISCHIEF & RELATED OF,10468,10467,1262322000,1394424000,3
HEATING,PETIT LARCENY,10468,11230,1262322000,1394424000,2
HEATING,HARRASSMENT 2,10468,11225,1262322000,1394424000,2
HEATING,PETIT LARCENY,10468,10462,1262322000,1394424000,2
Blocked Driveway,HARRASSMENT 2,11377,11236,1262322000,1451538000,1
Blocked Driveway,PETIT LARCENY,11377,10012,1262322000,1451538000,3
Blocked Driveway,ASSAULT 3 & RELATED OFFENSES,11377,11206,1262322000,1451538000,1
Blocked Driveway,HARRASSMENT 2,11377,11213,1262322000,1451538000,2
Blocked Driveway,PETIT LARCENY,11377,10452,1262322000,1451538000,2
Blocked Driveway,PETIT LARCENY,11377,10003,1262322000,1451538000,3
Blocked Driveway,HARRASSMENT 2,11377,10301,1262322000,1451538000,2
Blocked Driveway,PETIT LARCENY,11377,10035,1262322000,1451451600,2
Blocked Driveway,ASSAULT 3 & RELATED OFFENSES,11377,10459,1262322000,1451538000,1
Blocked Driveway,HARRASSMENT 2,11377,10459,1262322000,1451538000,2
Blocked Driveway,PETIT LARCENY,11377,10467,1262322000,1451278800,3
Blocked Driveway,PETIT LARCENY,11377,10457,1262322000,1451365200,1
Blocked Driveway,PETIT LARCENY,11377,11234,1262322000,1451365200,1
Blocked Driveway,CRIMINAL MISCHIEF & RELATED OF,11377,11212,1262322000,1451451600,2
Blocked Driveway,PETIT LARCENY,11377,11368,1262322000,1451538000,3
Blocked Driveway,HARRASSMENT 2,11377,11216,1262322000,1451451600,2
Blocked Driveway,HARRASSMENT 2,11377,11225,1262322000,1451538000,1
Blocked Driveway,ASSAULT 3 & RELATED OFFENSES,11377,11221,1262322000,1451451600,3
Blocked Driveway,PETIT LARCENY,11377,10462,1262322000,1451538000,2
Blocked Driveway,ASSAULT 3 & RELATED OFFENSES,11103,10458,1262667600,1451538000,1
Blocked Driveway,PETIT LARCENY,11103,10012,1262667600,1451538000,2
Blocked Driveway,PETIT LARCENY,11103,11206,1262667600,1451538000,1
Blocked Driveway,PETIT LARCENY,11103,10452,1262667600,1451538000,2
Blocked Driveway,PETIT LARCENY,11103,11207,1262667600,1451451600,2
Blocked Driveway,PETIT LARCENY,11103,10459,1262667600,1451538000,2
Blocked Driveway,HARRASSMENT 2,11103,11212,1262667600,1451538000,1
Blocked Driveway,DANGEROUS DRUGS,11103,10452,1262667600,1451451600,1
Blocked Driveway,ASSAULT 3 & RELATED OFFENSES,11103,10029,1262667600,1451538000,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10031,10467,1399867200,1451538000,3
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10031,10458,1399867200,1451538000,1
HEAT/HOT WATER,HARRASSMENT 2,10031,11236,1399867200,1451538000,2
HEAT/HOT WATER,PETIT LARCENY,10031,11211,1399867200,1451451600,1
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10031,11233,1399867200,1451538000,1
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10031,10453,1399867200,1451365200,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10031,10452,1399867200,1451538000,2
HEAT/HOT WATER,PETIT LARCENY,10031,10458,1399867200,1451451600,1
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10031,11216,1399867200,1451192400,2
HEAT/HOT WATER,HARRASSMENT 2,10031,11385,1399867200,1451538000,2
HEAT/HOT WATER,DANGEROUS DRUGS,10031,10452,1399867200,1451451600,1
HEAT/HOT WATER,PETIT LARCENY,10031,10002,1399867200,1451451600,2
HEAT/HOT WATER,HARRASSMENT 2,10031,10459,1399867200,1451538000,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,10031,10455,1399867200,1451538000,1
HEAT/HOT WATER,PETIT LARCENY,10031,11517,1399867200,1451538000,3
HEAT/HOT WATER,PETIT LARCENY,10031,11238,1399867200,1451538000,3
HEAT/HOT WATER,PETIT LARCENY,11104,10027,1416027600,1425013200,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,11104,11206,1416027600,1425013200,3
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,11104,11233,1416027600,1425013200,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,11104,10457,1416027600,1425013200,1
HEAT/HOT WATER,PETIT LARCENY,11104,10451,1416027600,1425013200,1
HEAT/HOT WATER,HARRASSMENT 2,11104,11212,1416027600,1425013200,2
HEAT/HOT WATER,ASSAULT 3 & RELATED OFFENSES,11104,11216,1416027600,1425013200,1
HEAT/HOT WATER,HARRASSMENT 2,11104,11221,1416027600,1425013200,1
HEAT/HOT WATER,HARRASSMENT 2,11104,10459,1416027600,1425013200,1
HEAT/HOT WATER,DANGEROUS DRUGS,11104,10451,1416027600,1425013200,3
GENERAL CONSTRUCTION,GRAND LARCENY,10032,10003,1262322000,1393218000,1
GENERAL CONSTRUCTION,ASSAULT 3 & RELATED OFFENSES,10032,10467,1262322000,1393218000,1
GENERAL CONSTRUCTION,PETIT LARCENY,10032,10012,1262322000,1393218000,1
GENERAL CONSTRUCTION,CRIMINAL MISCHIEF & RELATED OF,10032,11207,1262322000,1393218000,2
GENERAL CONSTRUCTION,GRAND LARCENY,10032,10012,1262322000,1393218000,2
GENERAL CONSTRUCTION,PETIT LARCENY,10032,10025,1262322000,1393218000,1
GENERAL CONSTRUCTION,HARRASSMENT 2,10032,11233,1262322000,1393218000,2
GENERAL CONSTRUCTION,DANGEROUS DRUGS,10032,10455,1262322000,1393218000,3
GENERAL CONSTRUCTION,PETIT LARCENY,10032,10035,1262322000,1393218000,1
GENERAL CONSTRUCTION,DANGEROUS DRUGS,10032,11207,1262322000,1393218000,1
GENERAL CONSTRUCTION,DANGEROUS DRUGS,10032,10456,1262322000,1393218000,1
GENERAL CONSTRUCTION,HARRASSMENT 2,10032,10455,1262322000,1393218000,1
GENERAL CONSTRUCTION,ASSAULT 3 & RELATED OFFENSES,10032,10459,1262322000,1393218000,1
GENERAL CONSTRUCTION,PETIT LARCENY,10032,10458,1262322000,1393218000,1
GENERAL CONSTRUCTION,DANGEROUS DRUGS,10032,10452,1262322000,1393218000,1
GENERAL CONSTRUCTION,DANGEROUS DRUGS,10032,10457,1262322000,1393218000,3
GENERAL CONSTRUCTION,PETIT LARCENY,10032,10028,1262322000,1393218000,1
GENERAL CONSTRUCTION,CRIMINAL MISCHIEF & RELATED OF,10032,11212,1262322000,1393218000,1
GENERAL CONSTRUCTION,PETIT LARCENY,10032,11238,1262322000,1393218000,2
GENERAL CONSTRUCTION,PETIT LARCENY,10032,11435,1262322000,1393218000,1
GENERAL CONSTRUCTION,DANGEROUS DRUGS,10032,10451,1262322000,1393218000,1
GENERAL CONSTRUCTION,PETIT LARCENY,10032,10455,1262322000,1393218000,1
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,10463,10451,1262322000,1451538000,1
Noise - Residential,PETIT LARCENY,10463,11233,1262322000,1451538000,2
Noise - Residential,ASSAULT 3 & RELATED OFFENSES,10463,10453,1262322000,1451365200,1
Noise - Residential,HARRASSMENT 2,10463,10029,1262322000,1451538000,2
